gene,log2FC,t,p,q
RAC1,0.5175435246876257,5.704051338831758,4.398166253050448e-07,1.9508897870862993e-05
STX1A,1.2419087553197328,5.753667795003482,4.4612133021536165e-07,1.971887696546984e-05
EFEMP2,0.8157893682613202,5.634617201132506,4.485254511800286e-07,1.9723959371154432e-05
BAD,0.5836945817882171,5.696339602874209,4.4976497690014215e-07,1.9723959371154432e-05
PIK3CD-AS2,0.9849103446855088,5.80830014266959,4.5095007882747725e-07,1.9723959371154432e-05
SLC22A23,1.3112206505278374,5.9094240396202,4.6221971018522755e-07,2.0146680631788757e-05
TRAPPC3,0.508148446031055,5.83397427450392,4.6754255966808224e-07,2.0308172150565524e-05
PPP4R1,1.0463398585895805,5.857807914476905,4.815571009455951e-07,2.083459781275706e-05
TPCN2,0.951105213118566,5.725180313274686,4.829815951176854e-07,2.083459781275706e-05
PCGF2,0.843414791537509,5.759906265252662,4.865468571731096e-07,2.0878170361585183e-05
ZCCHC17,0.5839690458933839,5.747566988607888,4.873180845968659e-07,2.0878170361585183e-05
PACS1,0.9034125454556139,5.654321191508611,4.937149161001996e-07,2.1025974932007666e-05
ITGA2,0.9317584749173387,5.6271838488812245,4.941179482946118e-07,2.1025974932007666e-05
GANAB,0.8182485957119754,5.868974931247726,5.026961496471703e-07,2.1318732319327464e-05
CTSB,0.8478251009312405,5.786718097324468,5.078587263277777e-07,2.146515350704577e-05
SNCAIP,1.5277940418142693,5.602290207803932,5.113510111720551e-07,2.1540232359875194e-05
GSN,0.8165254345286197,5.627547912323009,5.183408107395012e-07,2.1754332914504966e-05
WDTC1,0.8603742397882477,5.899377777651129,5.198996155780682e-07,2.1754332914504966e-05
VPS35,0.554818143926993,5.788938357309581,5.342797333713544e-07,2.228177240202861e-05
IDS,0.9295202030233565,5.7024255241237,5.451939454258087e-07,2.266165429447078e-05
GRK3,1.1646823215900752,5.744197632401813,5.526580599374293e-07,2.2896094476549667e-05
