screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
721,0.2028,0.1673,1697,17986,50,30971826,CAL-51,cell proliferation,Human CRISPR Library v.1.1
722,0.2086,0.1831,877,17986,50,30971826,CAL-72,cell proliferation,Human CRISPR Library v.1.1
723,0.2089,0.1723,1213,17986,50,30971826,Caov-4,cell proliferation,Human CRISPR Library v.1.1
724,0.2234,0.1878,1564,17986,50,30971826,Capan-1,cell proliferation,Human CRISPR Library v.1.1
725,0.1386,0.1238,1116,17986,50,30971826,CAS-1,cell proliferation,Human CRISPR Library v.1.1
726,0.1811,0.1523,1285,17986,50,30971826,CHP-212,cell proliferation,Human CRISPR Library v.1.1
727,0.2053,0.1618,1395,17986,50,30971826,CL-11,cell proliferation,Human CRISPR Library v.1.1
728,0.2835,0.2416,1277,17986,50,30971826,COLO 205,cell proliferation,Human CRISPR Library v.1.1
729,0.2548,0.2103,1686,17986,50,30971826,COLO 320HSR,cell proliferation,Human CRISPR Library v.1.1
73,0.2939,0.2655,2382,18619,50,28162770,OCI-AML-2,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
730,0.128,0.1073,401,17986,50,30971826,COLO 678,cell proliferation,Human CRISPR Library v.1.1
731,0.2082,0.1667,1471,17986,50,30971826,COLO 680N,cell proliferation,Human CRISPR Library v.1.1
732,0.246,0.2115,1599,17986,50,30971826,COLO 684,cell proliferation,Human CRISPR Library v.1.1
733,0.2151,0.1997,1003,17986,50,30971826,COLO 824,cell proliferation,Human CRISPR Library v.1.1
734,0.2328,0.2057,1521,17986,50,30971826,COR-L23,cell proliferation,Human CRISPR Library v.1.1
735,0.2341,0.1948,1940,17986,50,30971826,D-423MG,cell proliferation,Human CRISPR Library v.1.1
736,0.1562,0.1345,933,17986,50,30971826,D-502MG,cell proliferation,Human CRISPR Library v.1.1
737,0.2193,0.1881,1404,17986,50,30971826,D-542MG,cell proliferation,Human CRISPR Library v.1.1
738,0.2375,0.1962,1529,17986,50,30971826,DAN-G,cell proliferation,Human CRISPR Library v.1.1
739,0.1543,0.1295,1258,17986,50,30971826,DBTRG-05MG,cell proliferation,Human CRISPR Library v.1.1
74,0.3123,0.283,2145,18619,50,28162770,OCI-AML-3,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
740,0.2308,0.1884,1607,17986,50,30971826,Detroit 562,cell proliferation,Human CRISPR Library v.1.1
741,0.2175,0.1823,1333,17986,50,30971826,DiFi,cell proliferation,Human CRISPR Library v.1.1
742,0.1359,0.1108,1438,17986,50,30971826,DK-MG,cell proliferation,Human CRISPR Library v.1.1
743,0.2177,0.171,1197,17986,50,30971826,DOK,cell proliferation,Human CRISPR Library v.1.1
744,0.2231,0.1941,1668,17986,50,30971826,DOV13,cell proliferation,Human CRISPR Library v.1.1
745,0.1876,0.1565,1631,17986,50,30971826,DU145,cell proliferation,Human CRISPR Library v.1.1
746,0.1723,0.1431,1131,17986,50,30971826,EBC-1,cell proliferation,Human CRISPR Library v.1.1
