cohort	pathway_id	size	hits	n_strata_cols
ThomasAM_2018a	PWY-7117	14	21	21
ThomasAM_2018a	PWY-7282	10	20	20
ThomasAM_2018a	PWY-5138	5	21	21
ThomasAM_2018a	PWY-5861	9	11	11
ThomasAM_2018a	PWY-5659	4	44	44
ThomasAM_2018a	PWY-7228	6	93	93
ThomasAM_2018a	ENTBACSYN-PWY	11	6	6
ThomasAM_2018a	PWY-7003	16	3	3
ThomasAM_2018a	PWY-7254	10	5	5
ThomasAM_2018a	OANTIGEN-PWY	10	38	38
ThomasAM_2018a	GLUCUROCAT-PWY	7	9	9
ThomasAM_2018a	PWY-7237	10	90	90
ThomasAM_2018a	PWY-5860	9	6	6
ThomasAM_2018a	PWY-5862	9	6	6
ThomasAM_2018a	PWY-6317	5	69	69
ThomasAM_2018a	HEMESYN2-PWY	4	20	20
ThomasAM_2018a	PWY0-1241	5	35	35
ThomasAM_2018a	HEME-BIOSYNTHESIS-II	4	25	25
ThomasAM_2018a	GLUCARDEG-PWY	4	17	17
ThomasAM_2018a	PWY-5918	10	11	11
ThomasAM_2018a	PWY-6606	4	17	17
ThomasAM_2018a	PWY-7094	6	15	15
ThomasAM_2018a	PWY-7184	9	41	41
ThomasAM_2018a	THISYNARA-PWY	7	56	56
ThomasAM_2018a	PWY-7315	4	23	23
ThomasAM_2018a	POLYISOPRENSYN-PWY	6	14	14
ThomasAM_2018a	PWY-6803	4	21	21
ThomasAM_2018a	PWY-5384	4	25	25
